id,brand,name,category,gender,price_pkr,colors,sizes,image_url,product_url
"outfitters-8590610137279","Outfitters","Striped Shirt","Shirts","Women","4490","Black","XS | S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F1168203901.jpg?v=1788414392","https://outfitters.com.pk/products/f1168-203"
"outfitters-8463051915455","Outfitters","Textured Shirt","Shirts","Men","4990","Black | Blackk","S | M | L | XL","https://cdn.shopify.com/s/files/1/2290/7887/files/F1168103901.jpg?v=1787981364","https://outfitters.com.pk/products/f1168-103"
"outfitters-8539469021375","Outfitters","Checkered Shirt","Shirts","Men","6290","Multi Color","S | M | L | XL","https://cdn.shopify.com/s/files/1/2290/7887/files/F1224103999.jpg?v=1787917950","https://outfitters.com.pk/products/f1224-103"
"outfitters-8576684687551","Outfitters","Slogan Print T-Shirt","T-Shirts","Women","3090","Black","S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F1644206901.jpg?v=1787914194","https://outfitters.com.pk/products/f1644-206"
"outfitters-8526770077887","Outfitters","Slogan Print T-Shirt","T-Shirts","Women","3290","Anthracite Grey | Mid Grey","S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F1645206903.jpg?v=1787222453","https://outfitters.com.pk/products/f1645-206"
"outfitters-8526774632639","Outfitters","Slogan Print T-Shirt","T-Shirts","Men","3090","Jet Black","S | M | L | XL","https://cdn.shopify.com/s/files/1/2290/7887/files/F2293106902.jpg?v=1787832046","https://outfitters.com.pk/products/f2293-106"
"outfitters-8213270954175","Outfitters","Corduroy Jacket","Jackets","Men","6490","Grey","S | M | L | XL","https://cdn.shopify.com/s/files/1/2290/7887/files/F0279101906..jpg?v=1763718951","https://outfitters.com.pk/products/corduroy-jacket"
"outfitters-8411011580095","Outfitters","Non-Denim Shorts","Jeans","Men","2990","Beige | Anthracite Grey","S | M | L | XL","https://cdn.shopify.com/s/files/1/2290/7887/files/F0183110113LOWER._48431359-a5dc-410a-9b00-5cb864030259.jpg?v=1781775475","https://outfitters.com.pk/products/f0183-110"
"outfitters-8468003913919","Outfitters","Straight Fit Pants","Trousers","Women","3490","Pale Grey | Black","XS | S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F0577208910LOWER_152bae34-a98c-447c-ace0-e54c8064059a.jpg?v=1784023633","https://outfitters.com.pk/products/f0577-208"
"outfitters-8448789086399","Outfitters","Wide Leg Pants","Trousers","Women","3190","Grey | Dark Blue","XS | S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F0626208909LOWER..jpg?v=1787295066","https://outfitters.com.pk/products/f0626-208"
"outfitters-8468004044991","Outfitters","Straight Fit Pants","Trousers","Men","3690","Brown | Navy Blue | Peanut","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/2290/7887/files/F0707108801LOWER.jpg?v=1782282019","https://outfitters.com.pk/products/f0707-108"
"outfitters-8314852016319","Outfitters","Cropped Denim Vest","Jeans","Women","3690","Deep Blue","XS | S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F0436201620_ba70750d-41ba-459e-a418-3c3e17a2706e.jpg?v=1781847106","https://outfitters.com.pk/products/f0436-201"
"outfitters-8448788201663","Outfitters","Denim Midi Dress","Jeans","Women","5990","Dark Blue","XS | S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F0280204618..jpg?v=1781151987","https://outfitters.com.pk/products/f0280-204"
"outfitters-8526771781823","Outfitters","Graphic T-Shirt","T-Shirts","Women","2890","Coconut Milk","S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F1770206003.jpg?v=1787226145","https://outfitters.com.pk/products/f1770-206"
"outfitters-8526770536639","Outfitters","Slogan Print T-Shirt","T-Shirts","Women","2890","Dark Blue","S | M | L","https://cdn.shopify.com/s/files/1/2290/7887/files/F1656206618.jpg?v=1787223218","https://outfitters.com.pk/products/f1656-206"
"breakout-7914270982198","Breakout","BUTTON DOWN STRIPED SHIRT","Shirts","Men","1999","GREEN","XS | XL | M | L | S","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESFW842-GRN_1.jpg?v=1756900830","https://www.breakout.com.pk/products/5esfw842-grn"
"breakout-7908755472438","Breakout","STRIPED WIDE LEG TROUSER","Trousers","Women","1999","OFF-WHITE","S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESWP936-OFW_1.jpg?v=1756900870","https://www.breakout.com.pk/products/5eswp936-ofw"
"breakout-7906093072438","Breakout","MEGA WIDE CARPENTER FIT DENIM","Jeans","Women","2749","CHOCOLATE BROWN","28 | 29 | 30 | 32 | 34","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESWD790-CBR_1.jpg?v=1756900988","https://www.breakout.com.pk/products/5eswd790-cbr"
"breakout-7896063541302","Breakout","FLARED FIT DENIM","Jeans","Women","2499","BLUE","28 | 29 | 30 | 32 | 34","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESWD917-BLU_1.jpg?v=1756901050","https://www.breakout.com.pk/products/5eswd917-blu"
"breakout-7882525245494","Breakout","BOXY FIT TEXTURED POLO","T-Shirts","Men","1999","OLIVE","XS | S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSHP635-OLV_1.jpg?v=1756897582","https://www.breakout.com.pk/products/5dshp635-olv"
"breakout-7860847673398","Breakout","BOX FIT TEE","T-Shirts","Women","1249","GREEN","S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSNT750-GRN_4.jpg?v=1756897677","https://www.breakout.com.pk/products/5dsnt750-grn"
"breakout-7859620446262","Breakout","OVERSIZED BUTTON DOWN SHIRT","Shirts","Women","1849","GREEN","S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DWT735-GRN_1.jpg?v=1756897704","https://www.breakout.com.pk/products/5dswt735-grn"
"breakout-7849924755510","Breakout","CHECKERED BUTTON DOWN SHIRT","Shirts","Women","1849","BLUE","S | M | L","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSWT708-BLU_1.jpg?v=1756897768","https://www.breakout.com.pk/products/5dswt708-blu"
"breakout-7848311128118","Breakout","SEAMLESS WIDE LEGS DENIM","Jeans","Women","2499","BLACK","28 | 29 | 30 | 32 | 34","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSWD724-BLK_1.jpg?v=1756897822","https://www.breakout.com.pk/products/5dswd724-blk"
"breakout-7843792551990","Breakout","TEXTURED POLO","T-Shirts","Men","1899","BLACK","XS | S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSHT609-BLK_1.jpg?v=1756897894","https://www.breakout.com.pk/products/5dshp609-blk"
"breakout-7914270556214","Breakout","WIDE LEG FIT CHINO","Trousers","Men","2749","BLACK","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESMT855-BLK_1.jpg?v=1756900841","https://www.breakout.com.pk/products/5esmt855-blk"
"breakout-7908755669046","Breakout","SLIM RELAXED FIT CHINO","Trousers","Men","2749","OLIVE","30 | 32 | 34 | 36 | 38","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5ESMT836-OLV_2_2d55d903-a578-47e3-950a-a1bc04db679b.jpg?v=1756900865","https://www.breakout.com.pk/products/5esmt836-olv"
"breakout-8023621697590","Breakout","OVERSIZED VARSITY JACKET","Jackets","Women","3249","WHITE.","S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/25WUP537-WHO_1.jpg?v=1764749621","https://www.breakout.com.pk/products/25wup537-who"
"breakout-7843793272886","Breakout","BOXY FIT OXFORD SHIRT","Shirts","Men","1999","OLIVE","XS | S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSHW624-OLV_1.jpg?v=1756897873","https://www.breakout.com.pk/products/5dshw624-olv"
"breakout-7843792224310","Breakout","BOXY FIT LINEN SHIRT","Shirts","Men","2149","WHITE.","XS | S | M | L | XL","https://cdn.shopify.com/s/files/1/0202/5884/8822/files/5DSFW612-WHO_3.jpg?v=1756897903","https://www.breakout.com.pk/products/5dsfw612-who"
"engine-9382950437115","Engine","Men Cargo Trouser","Trousers","Men","2750","Brown","S | M | L | XL | XXL","https://cdn.shopify.com/s/files/1/0553/3774/6621/files/36_829b3ced-671d-42bc-a2d6-3c69edfc4b27.jpg?v=1788498988","https://engine.com.pk/products/fu6045-brn"
